9-го Травня,115000.0
Абрикосова,75000.0
Абрикосова,140000.0
Абрикосова,140000.0
Августина Волошина,160000.0
Авдєєнка Генерала,870000.0
Автозаводська,14883863.0
Автозаводський ,220000.0
Автопаркова,133000.0
Авторемонтна,69000.0
Автотранспортна,169999.0
Агітаторська,212000.0
Агрегатна,83500.0
Аеродромна,75000.0
Азербайджанська,65000.0
Азовська,82000.0
Айвазовського,207000.0
Академіка Єфремова,51990.0
Академіка Оппокова,57999.0
Академіка Ромоданова,57000.0
Академіка Тронька,95000.0
Акацієвий,50000.0
Алексухіна Василя,95000.0
Алли Горської,46860.0
Алматинська,38500.0
Аляб'єва,110000.0
Аманда Струве,269000.0
Аміни Окуєвої ,1983000.0
Амосова Миколи,119000.0
Амурська,210000.0
Амурська,310000.0
Ананасна,93000.0
Анатоліївська,98000.0
Анатолія Кентія,78000.0
Анатолія Лупиноса,68000.0
Анатолія Солов'яненка,77000.0
Андріївська,176000.0
Андріївський ,5572000.0
Андрія Аболмасова ,129000.0
Андрія Кизила,136000.0
Андрія Меленського,71000.0
Андрія Ніковського,108000.0
Андрія Первозванного,175000.0
Андрющенка Григорія,45006.0
Анкари,78000.0
Анни Ярославни,65000.0
Антіна Ждановича,3396000.0
Антона Цедіка,68899.0
Антоненка-Давидовича Бориса,205000.0
Антоні Новосельського,211000.0
Антонова Авіаконструктора,36500.0
Антоновича,3176715.0
Ареф'єва Костянтина,155000.0
Аркасівська,109000.0
Армійська ,120000.0
Арсенальна ,55000.0
Арсенальна ,48000.0
Арсенальний,235000.0
Артезіанський,41000.0
Артемія Веделя,143000.0
Артилерійський,65000.0
Архипа Люльки,500000.0
Архипенка Олександра,94000.0
Архітектора Дяченка,280000.0
Архітектора Кобелєва,67500.0
Архітекторська,72000.0
Аскольдів,54000.0
Астраханська,74000.0
Астраханський,130000.0
Астрономічна,110000.0
Атени Пашко,180000.0
Аттили Могильного,69000.0
Ахматової Анни,205000.0
Бабушкіна,211000.0
Багговутівська,36500.0
Багратіона,3176715.0
Багряна Дуброва,155000.0
Багряного Івана,109000.0
Бажана Миколи,120000.0
Бажова,55000.0
Байкальська,48000.0
Байкова,235000.0
Бакинська,41000.0
Бакинський,143000.0
Баклажанна,65000.0
Бакуніна,500000.0
Балакірева,94000.0
Балаклієвська,280000.0
Балтійський,67500.0
Бальзака Оноре де,72000.0
Банкова,54000.0
Баренбойма,74000.0
Барикадна,130000.0
Баришівська,110000.0
Басейна,180000.0
Бастіонна,69000.0
Бастіонний,120000.0
Батумська,150000.0
Батуринська,750000.0
Батуринський  ,75000.0
Баха Академіка ,53000.0
Бахмацька,42500.0
Бджолиний,103000.0
Безручка Марка,650000.0
Бердичівська,56000.0
Бердянська,90000.0
Бердянський,77000.0
Берегова,115000.0
Бережанська,120000.0
Березнева,130000.0
Березнева,85000.0
Березневий,140000.0
Березневий 3,45500.0
Березняківська,63232.0
Березова,95000.0
Берестецька,55000.0
Беретті Вікентія,186900.0
Берізоньки (Озерна 14),34200.0
Берковецька,234899.0
Берлінського Максима,55000.0
Бессарабська,136000.0
Бестужева Олександра,139000.0
Бестужева Олександра,210000.0
Бетховена,195000.0
Бехтерівський,119000.0
Биківнянська,410000.0
Биківнянський,93000.0
Биківський,137634.0
Бикова Леоніда,115000.0
Бишівський,85000.0
Бігова ,130000.0
Білаша Олександра,113000.0
Білгородська,39500.0
Білецького Академіка,68000.0
Білицька,155000.0
Білицький,110000.0
Біличанська,75000.0
Білогородська,142000.0
Білокур Катерини,80000.0
Біломорська,43000.0
Білоруська,248000.0
Біляшівського Академіка,280000.0
Бірюзова Маршала,209000.0
Блакитного,58990.0
Блока Олександра,111000.0
Бобринецька,97000.0
Бобринецький,68000.0
Бобруйський,184900.0
Богатирська,61500.0
Богатирський,111000.0
Богдана Гаврилишина,190700.0
Богданівська,53000.0
Богданівський,69000.0
Богомольця Академіка,169000.0
Богуна Івана,95000.0
Богунська,110000.0
Богунський,5880000.0
Богуславський,99999.0
